Altium Designer Pick and Place Locations
C:\Users\vojislav\OneDrive\IRNAS-Common\Electronics-Development\Agrelaeco\IRNAS_MPPT_charger\Project Outputs for IRNAS_MPPT LT3652\Generates pick and place files panel\Pick Place for MPPT charger panel.csv

========================================================================================================================
File Design Information:

Date:       17/09/18
Time:       11:57
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"C6","10uF/1812","TopLayer","1812_CAP","14.5830","50.2500","90",""
"R3","Resistor generic","TopLayer","0603_RES","21.0330","41.7500","180","1K5"
"R4","Resistor generic","TopLayer","0603_RES","21.0330","43.6500","180","1K5"
"R2","47K ","TopLayer","0603_RES","15.8730","41.7300","270","RESISTOR, 0603, 47K, FULL REEL"
"R7","39K","TopLayer","0603_RES","16.0130","44.9000","90",""
"R6","100K","TopLayer","0603_RES","17.4530","38.5600","90",""
"R8","300K","TopLayer","0603_RES","17.3630","35.4800","90",""
"R1","0.01R","TopLayer","1812_RES","12.5430","27.4000","270",""
"LD1","LED diode","TopLayer","LED_0603","24.3120","41.7450","180","LED"
"LD2","LED diode","TopLayer","LED_0603","24.3120","43.6500","180","LED"
"L1","5.6uH","TopLayer","FDSD0420-H","19.5230","26.0900","0","Single coil"
"J3","NTC","TopLayer","HDR1X2","13.3230","19.3100","180",""
"F-D1","Fuse","TopLayer","1206_RES","25.0730","47.1400","180",""
"D2","SS14","TopLayer","SMB","13.2030","35.2300","270","High Conductance Fast Diode"
"D1","SS14","TopLayer","SMB","25.7730","29.6800","270","High Conductance Fast Diode"
"C4","Capacitor/Bridge","TopLayer","0603_cap","18.5030","43.0000","270","Capacitor/Bridge"
"C1","1uF","TopLayer","0805_CAP","22.3130","32.1200","0",""
"C2","22uF","TopLayer","2512_CAP","22.6630","51.1900","360",""
"C3","2.2uF/1206","TopLayer","1206_CAP","20.0330","46.1700","360",""
"C5","10uF","TopLayer","0805_CAP","18.2630","32.6800","0",""
"IC1","LTC3652","TopLayer","MSOP12_-_EP","21.2430","37.4320","270",""
"J1","Terminal block","TopLayer","TERMINAL_BLOCK_-_2_WAYS","22.6830","5.1150","180","CONN TERM BLOCK 2POS 5MM PCB"
"J2","Terminal block","TopLayer","Terminal_block_-_2_ways","23.1730","60.4250","360","CONN TERM BLOCK 2POS 5MM PCB"
"C6","10uF/1812","TopLayer","1812_CAP","14.5830","116.3279","90",""
"R3","Resistor generic","TopLayer","0603_RES","21.0330","107.8279","180","1K5"
"R4","Resistor generic","TopLayer","0603_RES","21.0330","109.7279","180","1K5"
"R2","47K ","TopLayer","0603_RES","15.8730","107.8079","270","RESISTOR, 0603, 47K, FULL REEL"
"R7","39K","TopLayer","0603_RES","16.0130","110.9779","90",""
"R6","100K","TopLayer","0603_RES","17.4530","104.6379","90",""
"R8","300K","TopLayer","0603_RES","17.3630","101.5579","90",""
"R1","0.01R","TopLayer","1812_RES","12.5430","93.4779","270",""
"LD1","LED diode","TopLayer","LED_0603","24.3120","107.8229","180","LED"
"LD2","LED diode","TopLayer","LED_0603","24.3120","109.7279","180","LED"
"L1","5.6uH","TopLayer","FDSD0420-H","19.5230","92.1679","0","Single coil"
"J3","NTC","TopLayer","HDR1X2","13.3230","85.3879","180",""
"F-D1","Fuse","TopLayer","1206_RES","25.0730","113.2179","180",""
"D2","SS14","TopLayer","SMB","13.2030","101.3079","270","High Conductance Fast Diode"
"D1","SS14","TopLayer","SMB","25.7730","95.7579","270","High Conductance Fast Diode"
"C4","Capacitor/Bridge","TopLayer","0603_cap","18.5030","109.0779","270","Capacitor/Bridge"
"C1","1uF","TopLayer","0805_CAP","22.3130","98.1979","0",""
"C2","22uF","TopLayer","2512_CAP","22.6630","117.2679","360",""
"C3","2.2uF/1206","TopLayer","1206_CAP","20.0330","112.2479","360",""
"C5","10uF","TopLayer","0805_CAP","18.2630","98.7579","0",""
"IC1","LTC3652","TopLayer","MSOP12_-_EP","21.2430","103.5099","270",""
"J1","Terminal block","TopLayer","TERMINAL_BLOCK_-_2_WAYS","22.6830","71.1929","180","CONN TERM BLOCK 2POS 5MM PCB"
"J2","Terminal block","TopLayer","Terminal_block_-_2_ways","23.1730","126.5029","360","CONN TERM BLOCK 2POS 5MM PCB"
"C6","10uF/1812","TopLayer","1812_CAP","33.5230","50.2500","90",""
"R3","Resistor generic","TopLayer","0603_RES","39.9730","41.7500","180","1K5"
"R4","Resistor generic","TopLayer","0603_RES","39.9730","43.6500","180","1K5"
"R2","47K ","TopLayer","0603_RES","34.8130","41.7300","270","RESISTOR, 0603, 47K, FULL REEL"
"R7","39K","TopLayer","0603_RES","34.9530","44.9000","90",""
"R6","100K","TopLayer","0603_RES","36.3930","38.5600","90",""
"R8","300K","TopLayer","0603_RES","36.3030","35.4800","90",""
"R1","0.01R","TopLayer","1812_RES","31.4830","27.4000","270",""
"LD1","LED diode","TopLayer","LED_0603","43.2520","41.7450","180","LED"
"LD2","LED diode","TopLayer","LED_0603","43.2520","43.6500","180","LED"
"L1","5.6uH","TopLayer","FDSD0420-H","38.4630","26.0900","0","Single coil"
"J3","NTC","TopLayer","HDR1X2","32.2630","19.3100","180",""
"F-D1","Fuse","TopLayer","1206_RES","44.0130","47.1400","180",""
"D2","SS14","TopLayer","SMB","32.1430","35.2300","270","High Conductance Fast Diode"
"D1","SS14","TopLayer","SMB","44.7130","29.6800","270","High Conductance Fast Diode"
"C4","Capacitor/Bridge","TopLayer","0603_cap","37.4430","43.0000","270","Capacitor/Bridge"
"C1","1uF","TopLayer","0805_CAP","41.2530","32.1200","0",""
"C2","22uF","TopLayer","2512_CAP","41.6030","51.1900","360",""
"C3","2.2uF/1206","TopLayer","1206_CAP","38.9730","46.1700","360",""
"C5","10uF","TopLayer","0805_CAP","37.2030","32.6800","0",""
